pvalue_asymptotic,pvalue_fedcspa
0.4946513366685897,0.5977310173357245
0.01094161197034291,0.64062129685493
0.1387448644077368,0.808035966148781
0.2542559529239788,0.35769060716374135
0.7753526617644175,0.4905632806730038
0.7753859001564318,0.10987024275739757
0.9141522435961638,0.96473672258876
0.04895536586441507,0.32119752911481464
0.2519251572956641,0.20527034665329255
0.15772928641940143,0.20857068462930523
0.969282703465806,0.09168225197619696
0.005219591103923412,0.23779719844017452
0.06858754537510656,0.05550400709780935
0.6990510979811392,0.6408911976168578
0.740064093923512,0.4632236140892061
0.7379220123792931,0.984523319783154
0.5803461203597476,0.9923493219832297
0.3276229920080202,0.7392908877665657
0.4281397576353902,0.8896887609711503
0.596703768544257,0.7178247341957774
0.2418212865792469,0.8070764723079463
0.7982353556763023,0.9686730972664006
0.595548012445491,0.07134214712953697
0.5043847913386057,0.9909582837769483
0.4011571505595947,0.2310019528152342
0.09956903895856019,0.8339732439888395
0.715979464575666,0.06881494476300093
0.338563459153772,0.08574965043424213
0.2602123938655149,0.3112577522598389
0.9311398719086061,0.293170368481198
0.2458583969411162,0.9941285142050633
0.755449851048061,0.009948861129351365
0.9040271405403961,0.09900356888329266
0.011556217325540264,0.08371912558428429
0.0063713397245133896,0.30597582174959576
0.0838691561685915,0.6280884514779076
0.5798813357239805,0.0849996841465006
0.8571297492346555,0.6844826206726327
0.17743939860932076,0.4025731580388093
0.4188944651741405,0.8908601656132052
0.8226467844466118,0.06047498040354004
0.35868136682342755,0.8462917762553788
0.9488632572511083,0.7556061417672129
0.027306395656704365,0.40721097368940545
0.6381469677050046,0.20418080424375304
0.19605036316263605,0.3456024229431403
0.5710263790047724,0.7478492046973721
0.33248306787608084,0.9989627021467115
0.30518543699671424,0.2108000827545555
0.7359575053164843,0.009706247426261347
0.005304441984791804,0.1610079631332783
0.10663237950110653,0.5075166692738293
0.014881422903148853,0.07614740884395489
0.034107840436363085,0.5598356314106878
0.25497708041851946,0.4409905263270822
0.021836922069865,0.4900420066906393
0.8702426584809286,0.5205451338950403
0.7209380685799571,0.19364021377292698
0.9329320143981397,0.4391173516376505
0.5541620476599823,0.6577495988860054
0.47797567462506985,0.7200165041908938
0.6219841525311716,0.9585572223480229
0.07087505096430444,0.3818792197908368
0.515900944839073,0.7501769844129831
0.6097512083334635,0.8383173549747691
0.3092483433206195,0.3113281713902069
0.7962458996135462,0.2843519893033319
0.08797299437869967,0.21557499553753653
0.8902848571812745,0.4628467131896943
0.001501606852283426,0.0846428527320964
0.10869324129768572,0.04833176274669398
0.7172655382145797,0.16337815464604208
0.9917282700274114,0.3294160460291147
0.07927399260574561,0.6715241850075983
0.1587152026597157,0.01135112984542276
0.14107066228482018,0.7029762835146334
0.10939153275991782,0.7794885697349215
0.8910151054654472,0.5262179498369468
0.5138422287386893,0.9376561837203773
0.831332738517531,0.014648909079647929
0.05065109865094086,0.37660315484316426
0.23120470603496437,0.40840942850445117
0.5473164077281849,0.3093834768757962
0.906193790776865,0.4695721416471663
0.5719335157205296,0.9647872273370123
0.554343183193078,0.35263991714592746
0.1406031809238379,0.2502405013289472
